Краткое наименование ценной бумаги;Краткое наименование эмитента ценной бумаги;Тип ценной бумаги;Гос. рег. номер ценной бумаги (при отсутствии - код ISIN);ИНН эмитента ценной бумаги;Торговый код ценной бумаги
СилМашБО-5;"ПАО ""Силовые машины""";об;4B02-05-35909-H;7702080289;RU000A0JX0Y1
СилМашБО-6;"ПАО ""Силовые машины""";об;4B02-06-35909-H;7702080289;RU000A0JX1A9
СистемБ1P1;"ПАО АФК ""Система""";об;4B02-01-01669-A-001P;7703104630;RU000A0JVUK8
СистемБ1P4;"ПАО АФК ""Система""";об;4B02-04-01669-A-001P;7703104630;RU000A0JWYQ5
СистемБ1P6;"ПАО АФК ""Система""";об;4B02-06-01669-A-001P;7703104630;RU000A0JXN21
СистемБ1P7;"ПАО АФК ""Система""";об;4B02-07-01669-A-001P;7703104630;RU000A0ZYQY7
СмолОб2013;Администрация Смоленской области;об;RU34001SML0;6730076902;RU000A0JU7R3
СПбГО35001;Комитет финансов;об;RU35001GSP0;7830002430;RU000A0ZYHX8
Тинькофф1R;АО «Тинькофф Банк»;об;4B020102673B001P;7710140679;RU000A0JXQ85
ТрансмшПБ1;"ЗАО ""Трансмашхолдинг""";об;4B02-01-35992-H-001P;7723199790;RU000A0JXD07
ТрансФ1P04;ПАО «ТрансФин-М»;об;4B02-04-50156-A-001P;7708797192;RU000A0ZYEB1
ТрнфБО1P6;"ПАО ""Транснефть""";об;4B02-06-00206-A-001P;7706061801;RU000A0JXM97
Удмурт2015;Правительство Удмуртской Республики;об;RU34007UDM0;1831041689;RU000A0JVSY3
УрКаПБО4P;ПАО «Уралкалий»;об;4B02-04-00296-A-001P;5911029807;RU000A0ZZ9W4
ФинАвиа 01;"ООО ""Финанс-Авиа""";об;4-01-36484-R;8602258770;RU000A0JVZF7
Хакас2013;Минфин Хакасии;об;RU35003HAK0;1901019947;RU000A0JU8R1
Хакас2014;Минфин Хакасии;об;RU35004HAK0;1901019947;RU000A0JUXW9
Хакас2016;Минфин Хакасии;об;RU35006HAK0;1901019947;RU000A0JWXQ7
ЦППК 1P-02;"АО ""Центральная ППК""";об;4B02-02-11252-A-001P;7705705370;RU000A0ZZFH2
ЧТПЗ 1P3;"ПАО ""ЧТПЗ""";об;4B02-03-00182-A-001P;7449006730;RU000A0JXME4
ЭлемЛиз1P1;"ООО ""Элемент Лизинг""";об;4B02-01-36193-R-001P;7706561875;RU000A0ZZ0L6
ЯрОбл 2014;ДФ ЯО;об;RU35013YRS0;7604002902;RU000A0JUQF8
