Краткое наименование ценной бумаги;Краткое наименование эмитента ценной бумаги;Тип ценной бумаги;Гос. рег. номер ценной бумаги (при отсутствии - код ISIN);ИНН эмитента ценной бумаги;Торговый код ценной бумаги
ВЭБ ПБО1Р3;Внешэкономбанк ;об;4B02-03-00004-T-001P;7750004150;RU000A0JWNE4
ВЭБ ПБО1Р4;Внешэкономбанк ;об;4B02-04-00004-T-001P;7750004150;RU000A0JWNJ3
ВЭБПБО1Р10;Внешэкономбанк ;об;4B02-11-00004-T-001P;7750004150;RU000A0ZYLH3
Газпнф1P1R;ПАО «Газпром нефть»;об;4B02-01-00146-A-001P;5504036333;RU000A0JXNF9
Газпнф1P4R;ПАО «Газпром нефть»;об;4B02-04-00146-A-001P;5504036333;RU000A0ZYLC4
Газпнф1P6R;ПАО «Газпром нефть»;об;4B02-06-00146-A-001P;5504036333;RU000A0ZYXV9
Газпрнеф10;ПАО «Газпром нефть»;об;4-10-00146-A;5504036333;RU000A0JR878
ГазпромБ22;"ПАО ""Газпром""";об;4B02-22-00028-A;7736050003;RU000A0ZZES2
ГазпромБ23;"ПАО ""Газпром""";об;4B02-23-00028-A;7736050003;RU000A0ZZET0
ГазпромКБ1;"ООО ""Газпром капитал""";об;4B02-01-36400-R;7726588547;RU000A0ZYUV5
ГазпромКБ3;"ООО ""Газпром капитал""";об;4B02-03-36400-R;7726588547;RU000A0ZYUY9
ГазпромКБ4;"ООО ""Газпром капитал""";об;4B02-04-36400-R;7726588547;RU000A0ZYV04
ГеотекС 1;"ПАО ""ГЕОТЕК Сейсморазведка""";об;4-01-55378-E;7203215460;RU000A0JU807
ГИДРОМАШБ1;АО «ГИДРОМАШСЕРВИС»;об;4B02-01-17174-H;7733015025;RU000A0JXJE0
ГПБ БО-13;Банк ГПБ (АО);об;4B021300354B;7744001497;RU000A0JXTF6
ГПБ БО-14;Банк ГПБ (АО);об;4B021400354B;7744001497;RU000A0ZYAE3
ГПБ БО-15;Банк ГПБ (АО);об;4B021500354B;7744001497;RU000A0ZYHK5
ГПБ БО-16;Банк ГПБ (АО);об;4B021600354B;7744001497;RU000A0JXP45
ГПБ БО-18;Банк ГПБ (АО);об;4B021800354B;7744001497;RU000A0ZYRX7
ГПБ БО-19;Банк ГПБ (АО);об;4B021900354B;7744001497;RU000A0ZYRY5
ГПБ БО-25;Банк ГПБ (АО);об;4B022500354B;7744001497;RU000A0ZYM05
ГСС БО-05;"АО ""ГСС""";об;4B02-05-21927-H;7714175986;RU000A0JVF64
ГТЛК 1P-05;ПАО «ГТЛК»;об;4B02-05-32432-H-001P;7720261827;RU000A0JY023
ГТЛК 1P-06;ПАО «ГТЛК»;об;4B02-06-32432-H-001P;7720261827;RU000A0ZYAP9
ГТЛК 1P-08;ПАО «ГТЛК»;об;4B02-08-32432-H-001P;7720261827;RU000A0ZYR91
ГТЛК 1P-09;ПАО «ГТЛК»;об;4B02-09-32432-H-001P;7720261827;RU000A0ZZ1J8
ГТЛК 1P-10;ПАО «ГТЛК»;об;4B02-10-32432-H-001P;7720261827;RU000A0ZZ984
ГТЛК БО-04;ПАО «ГТЛК»;об;4B02-04-32432-H;7720261827;RU000A0JVA10
ГТЛК БО-05;ПАО «ГТЛК»;об;4B02-05-32432-H;7720261827;RU000A0JVWD9
ГТЛК БО-06;ПАО «ГТЛК»;об;4B02-06-32432-H;7720261827;RU000A0JVWJ6
ГТЛК БО-07;ПАО «ГТЛК»;об;4B02-07-32432-H;7720261827;RU000A0JW1P8
ГТЛК БО-08;ПАО «ГТЛК»;об;4B02-08-32432-H;7720261827;RU000A0JWST1
ДДёнерБОП1;"ООО ""Дядя Дёнер""";об;4B02-01-00355-R-001P;5404404583;RU000A0ZZ7R8
ДелоПортс1;"ООО ""ДелоПортс""";об;4-01-36485-R;7706420120;RU000A0JVZB6
ДельКрБ1P1;АО «КБ ДельтаКредит»;об;4B020103338B001P;7705285534;RU000A0ZYBG6
ДельтКрБ20;АО «КБ ДельтаКредит»;об;4B022003338B;7705285534;RU000A0JWGS8
ДельтКрБ26;АО «КБ ДельтаКредит»;об;4B022603338B;7705285534;RU000A0JWNB0
ДОМ.РФ1P2R;"АО ""ДОМ.РФ""";об;4B02-02-00739-A-001P;7729355614;RU000A0ZYQU5
ДомДенБ1Р1;"ООО ""Домашние деньги""";об;4B02-01-36412-R-001P;7714699186;RU000A0JXPH0
ДрктЛиз1P1;"ООО ""ДиректЛизинг""";об;4B02-01-00308-R-001P;7709673048;RU000A0ZYE96
ДФФ 1Р-01;"ООО ""ДФФ""";об;4B02-01-00356-R-001P;5009097236;RU000A0ZYM21
ЕврХимБ1Р1;АО «МХК «ЕвроХим»;об;4B02-01-31153-H-001P;7721230290;RU000A0JWDU1
ЕврХол1P1R;"ООО ""ЕвразХолдинг Финанс""";об;4B02-01-36383-R-001P;7707710865;RU000A0JWBH2
ЕврХолдФ 8;"ООО ""ЕвразХолдинг Финанс""";об;4-08-36383-R;7707710865;RU000A0JVKK9
ЖКИнвБО01;"ООО ""Жилкапинвест""";об;4B02-01-00362-R;7714303772;RU000A0ZYSS5
ИКС5Фин1P3;"ООО ""ИКС 5 ФИНАНС""";об;4B02-03-36241-R-001P;7715630469;RU000A0ZZ083
ИКС5ФинБО5;"ООО ""ИКС 5 ФИНАНС""";об;4B02-05-36241-R;7715630469;RU000A0JW9G0
КалинОбл16;Минфин Калининградской области;об;RU34001KLN0;3905014118;RU000A0JX2S9
Карелия 16;Министерство финансов Республики Карелия;об;RU34016KAR0;1001040590;RU000A0JU1V8
Карелия 17;Министерство финансов Республики Карелия;об;RU35017KAR0;1001040590;RU000A0JUWJ8
КемерОбл17;ГФУ Кемеровской области;об;RU35002KEM0;4200000630;RU000A0ZYB40
КОБР-11;Банк России;об;4-11-22BR1-8;7702235133;RU000A0ZZCN7
КОМИ 12 об;Правительство Республики Коми;об;RU35012KOM0;1101481969;RU000A0JVKF9
КостромОб7;Администрация Костромской области;об;RU34007KOS0;4401006423;RU000A0JU6N4
КраснодКр2;Минфин КК;об;RU35002KND0;2308040000;RU000A0ZZ8X4
КрасЯрКр10;Министерство финансов Красноярского края;об;RU34010KNA0;2460071533;RU000A0JVS10
КрасЯрКр12;Министерство финансов Красноярского края;об;RU34012KNA0;2460071533;RU000A0JWXF0
КрасЯрКр14;Министерство финансов Красноярского края;об;RU35014KNA0;2460071533;RU000A0ZYFB8
ЛевенгукБ1;"ОАО ""Левенгук""";об;4B02-01-04329-D;7839462305;RU000A0ZYHW0
Лента 1 об;"ООО ""Лента""";об;4-01-36420-R;7814148471;RU000A0JTR72
ЛидерИнБП2;"АО ""Лидер-Инвест""";об;4B02-02-55338-H-001P;7705619586;RU000A0ZYU39
ЛнССМУБ1P1;"АО ""Эталон ЛенСпецСМУ""";об;4B02-01-17644-J-001P;7802084569;RU000A0JWLG3
ЛнССМУБ1P2;"АО ""Эталон ЛенСпецСМУ""";об;4B02-02-17644-J-001P;7802084569;RU000A0ZYA66
ЛСР БО 1Р1;ПАО «Группа ЛСР»;об;4B02-01-55234-E-001P;7838360491;RU000A0JWU98
ЛСР БО 1Р3;ПАО «Группа ЛСР»;об;4B02-03-55234-E-001P;7838360491;RU000A0ZYBV5
МаниМенБ1;"ООО МФК ""Мани Мен""";об;4B02-01-00343-R-001P;7704784072;RU000A0ZYJX4
МгдОбл2014;Минфин Магаданской области;об;RU34001MGN0;4909032670;RU000A0JV3Z4
МГор48-об;Правительство г. Москвы;об;RU32048MOS0;7710152113;RU000A0JNYN1
МГор66-об;Правительство г. Москвы;об;RU27066MOS0;7710152113;RU000A0JQHM1
Мегафон1P4;ПАО «МегаФон»;об;4B02-04-00822-J-001P;7812014560;RU000A0ZYTM6
МежИнБ01P1;Международный инвестиционный банк;об;RU000A0JXT58;9909152110;RU000A0JXT58
МЕТАЛИНБ02;АО «ХК «МЕТАЛЛОИНВЕСТ»;об;4B02-02-25642-H;7705392230;RU000A0JWBF6
Мечел 16об;"ПАО ""Мечел""";об;4-16-55005-E;7703370008;RU000A0JR8P0
Мечел 17об;"ПАО ""Мечел""";об;4-17-55005-E;7703370008;RU000A0JRJS2
МиратФБО-6;"ООО ""Мираторг Финанс""";об;4B02-06-36276-R;7724611631;RU000A0JWF22
МКБ БО-06;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";об;4B020601978B;7734202860;RU000A0JU880
МКБ БО-11;"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";об;4B021101978B;7734202860;RU000A0JUQR3
МКБ-лиз 01;"ООО ""МКБ-лизинг""";об;4-01-36506-R;7717540595;RU000A0JWWX5
Мордовия03;Министерство финансов Республики Мордовия;об;RU34003MOR0;1300050318;RU000A0JWSQ7
МосОбл2016;МЭФ Московской области;об;RU35010MOO0;5000001451;RU000A0JX0B9
МосОбл2017;МЭФ Московской области;об;RU34011MOO0;5000001451;RU000A0ZYML3
МОСТРЕСТ 7;ПАО «МОСТОТРЕСТ»;об;4-07-02472-A;7701045732;RU000A0JWN63
МТС 001P-2;"ПАО ""МТС""";об;4B02-02-04715-A-001P;7740000076;RU000A0JXMH7
МТС 001P-3;"ПАО ""МТС""";об;4B02-03-04715-A-001P;7740000076;RU000A0ZYFC6
МТС 1P-05;"ПАО ""МТС""";об;4B02-05-04715-A-001P;7740000076;RU000A0ZYWX7
МТС БО-02;"ПАО ""МТС""";об;4B02-02-04715-A;7740000076;RU000A0JWRV9
НАО 2017;Администрация НАО;об;RU35001NEN0;8300130051;RU000A0ZYF61
НижгорОб10;Минфин Нижегородской области;об;RU34010NJG0;5200000021;RU000A0JVPR3
НижгорОб11;Минфин Нижегородской области;об;RU35011NJG0;5200000021;RU000A0JWLD0
НижгорОб12;Минфин Нижегородской области;об;RU34012NJG0;5200000021;RU000A0ZYDQ1
НижгорОбл9;Минфин Нижегородской области;об;RU34009NJG0;5200000021;RU000A0JU3B6
Новсиб2013;МФ и НП НСО;об;RU34015ANO0;5406634649;RU000A0JU963
О1ГрФин1P1;ООО «О1 Груп Финанс»;об;4B02-01-00326-R-001P;7702675342;RU000A0JXQM8
О'КЕЙ-Б01Р;"ООО ""О'КЕЙ""";об;4B02-01-36415-R-001P;7826087713;RU000A0JXQH8
О'КЕЙ-Б06;"ООО ""О'КЕЙ""";об;4B02-06-36415-R;7826087713;RU000A0JWCK4
Оренб35003;Минфин Оренбургской области;об;RU35003AOR0;5610008401;RU000A0JVM81
ОрлОбл2017;Правительство Орловской области;об;RU34001ORL0;5753010381;RU000A0ZYGM3
ОткрФКББ07;ПАО Банк «ФК Открытие»;об;4B020702209B;7706092528;RU000A0JV573
ОткрФКБОП3;ПАО Банк «ФК Открытие»;об;4B020302209B001P;7706092528;RU000A0JXLR8
ОткрХОЛ 5;"АО ""Открытие Холдинг""";об;4-05-14406-A;7708730590;RU000A0JTX09
ОФЗ 46019;Минфин России;об;46019RMFS;7710168360;SU46019RMFS4
ПКБ БО-01;НАО «ПКБ»;об;4B02-01-32831-F;2723115222;RU000A0JWWG0
ПКТ 01;"АО ""ПКТ""";об;4-01-03924-J;7805113497;RU000A0JW0S4
ПКТ 02;"АО ""ПКТ""";об;4-02-03924-J;7805113497;RU000A0JW5E3
ПКТ 03;"АО ""ПКТ""";об;4-03-03924-J;7805113497;RU000A0JWBP5
ПолиплБ03;"АО ""Полипласт""";об;4B02-03-06757-A;7708186108;RU000A0JWYK8
ПочтаРБ1P4;"ФГУП ""Почта России""";об;4B02-04-00005-T-001P;7724261610;RU000A0ZZ5H3
ПочтаРБ1P5;"ФГУП ""Почта России""";об;4B02-05-00005-T-001P;7724261610;RU000A0ZZ5J9
ПромсвбБО6;ПАО «Промсвязьбанк»;об;4B020603251B;7744000912;RU000A0JUVF8
ПромсвбБО8;ПАО «Промсвязьбанк»;об;4B020803251B;7744000912;RU000A0JUVG6
ПЮДМ БО-П1;"ООО ""ПЮДМ""";об;4B02-01-00361-R-001P;7703408540;RU000A0ZZ8A2
РедСофт1P1;"ООО ""Ред Софт""";об;4B02-01-00372-R-001P;9705000373;RU000A0ZZ695
РЖД 1Р-05R;"ОАО ""Российские железные дороги""";об;4B02-05-65045-D-001P;7708503727;RU000A0ZYU05
РЖД Б01P2R;"ОАО ""Российские железные дороги""";об;4B02-02-65045-D-001P;7708503727;RU000A0JXQ44
РЖД Б01P4R;"ОАО ""Российские железные дороги""";об;4B02-04-65045-D-001P;7708503727;RU000A0JXZB2
РЖД-23 обл;"ОАО ""Российские железные дороги""";об;4-23-65045-D;7708503727;RU000A0JQRD9
РЖД-28 обл;"ОАО ""Российские железные дороги""";об;4-28-65045-D;7708503727;RU000A0JTU85
РН БАНК1Р1;"АО ""РН Банк""";об;4B020100170B001P;5503067018;RU000A0JXNV6
Роснефть04;"ПАО ""НК ""Роснефть""";об;4-04-00122-A;7706107510;RU000A0JT940
Роснефть07;"ПАО ""НК ""Роснефть""";об;4-07-00122-A;7706107510;RU000A0JTS06
Роснефть08;"ПАО ""НК ""Роснефть""";об;4-08-00122-A;7706107510;RU000A0JTS22
Роснфт1P2;"ПАО ""НК ""Роснефть""";об;4B02-02-00122-A-001P;7706107510;RU000A0JX355
Роснфт2P5;"ПАО ""НК ""Роснефть""";об;4B02-05-00122-A-002P;7706107510;RU000A0ZYVU5
РоснфтБО3;"ПАО ""НК ""Роснефть""";об;4B02-03-00122-A;7706107510;RU000A0JV1X3
РоснфтБО9;"ПАО ""НК ""Роснефть""";об;4B02-09-00122-A;7706107510;RU000A0JV219
Ростел1P4R;"ПАО ""Ростелеком""";об;4B02-04-00124-A-001P;7707049388;RU000A0ZYYE3
РСГ-ФинБ10;"ООО ""РСГ-Финанс""";об;4B02-10-36399-R;7709858440;RU000A0JWLJ7
РСХБ 16;АО «Россельхозбанк»;об;41603349B;7725114488;RU000A0JS6N8
РСХБ БО 1P;АО «Россельхозбанк»;об;4B020103349B001P;7725114488;RU000A0JXMQ8
РСХБ БО 2P;АО «Россельхозбанк»;об;4B020203349B001P;7725114488;RU000A0JXUC1
РСХБ БО 3P;АО «Россельхозбанк»;об;4B020303349B001P;7725114488;RU000A0ZYBT9
РСХБ БО 4P;АО «Россельхозбанк»;об;4B020403349B001P;7725114488;RU000A0ZYJ42
РСХБ БО14;АО «Россельхозбанк»;об;4B021403349B;7725114488;RU000A0JUW72
РСХБ БО-5Р;АО «Россельхозбанк»;об;4B020503349B001P;7725114488;RU000A0ZYXJ4
РусГидрБП5;"ПАО ""РусГидро""";об;4B02-05-55038-E-001P;2460066195;RU000A0JXTQ3
СамарОбл 9;Министерство управления финансами Самарской области;об;RU35009SAM0;6315802231;RU000A0JU2H5
СамарОбл12;Министерство управления финансами Самарской области;об;RU35012SAM0;6315802231;RU000A0JWM56
СберБ Б16R;ПАО Сбербанк;об;4B021601481B001P;7707083893;RU000A0ZZE20
СберБ БО19;ПАО Сбербанк;об;4B021901481B;7707083893;RU000A0JXRW5
СберБ БО2R;ПАО Сбербанк;об;4B020201481B001P;7707083893;RU000A0JXPE7
СвердлОб4;Министерство финансов Свердловской области;об;RU35004SVS0;6661004608;RU000A0ZYDU3
СЗД Б1-1;"ООО МФК ""СЗД""";об;4B02-01-00321-R-001P;7730634468;RU000A0ZYAQ7
СИБУРХол10;"ПАО ""СИБУР Холдинг""";об;4-10-65134-D;7727547261;RU000A0JWBK6
СилМашБО-1;"ПАО ""Силовые машины""";об;4B02-01-35909-H;7702080289;RU000A0JVVV3
СИНХФБО1P1;"ООО ""СИНХ-Финанс""";об;4B02-01-00325-R-001P;1655380771;RU000A0JXVE5
СистемБ1P5;"ПАО АФК ""Система""";об;4B02-05-01669-A-001P;7703104630;RU000A0JWZY6
Совком БО3;ПАО «Совкомбанк»;об;4B020300963B;4401116480;RU000A0JWPA7
Совком БО5;ПАО «Совкомбанк»;об;4B020500963B;4401116480;RU000A0ZYJR6
СолЛизБО01;"ООО ""Солид-Лизинг""";об;4B02-01-00330-R-001P;7714582540;RU000A0ZZEA0
СПбТел 02;"ОАО ""Теле2-Санкт-Петербург""";об;4-02-00740-D;7815020097;RU000A0JRKD2
СПбТел 04;"ОАО ""Теле2-Санкт-Петербург""";об;4-04-00740-D;7815020097;RU000A0JS3M7
СПбТел 07;"ОАО ""Теле2-Санкт-Петербург""";об;4-07-00740-D;7815020097;RU000A0JRVU3
СТТ 01;"ООО ""САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ""";об;4-01-36502-R;6367042944;RU000A0JWKY8
СТТ 02;"ООО ""САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ""";об;4-02-36502-R;6367042944;RU000A0JXMB0
СэтлГрБ1P1;"ООО ""Сэтл Групп""";об;4B02-01-36160-R-001P;7810245481;RU000A0ZYEQ9
ТГК-2 БО-2;"ПАО ""ТГК-2""";об;4B02-02-10420-A;7606053324;RU000A0JU7L6
ТелХолПБО3;"АО ""ЭР-Телеком Холдинг""";об;4B02-03-53015-K-001P;5902202276;RU000A0JXQJ4
ТинькоффБ7;АО «Тинькофф Банк»;об;4B020702673B;7710140679;RU000A0JWM31
ТКХ БП1;"ООО ""ТКХ""";об;4B02-01-00349-R-001P;7729551288;RU000A0ZYCR1
ТМК БО-5;"ПАО ""ТМК""";об;4B02-05-29031-H;7710373095;RU000A0JWCM0
ТМК БО-6;"ПАО ""ТМК""";об;4B02-06-29031-H;7710373095;RU000A0JXPD9
ТойотаБ1P1;"АО ""Тойота Банк""";об;4B020103470B001P;7750004136;RU000A0ZYHH1
ТрнфБО1P5;"ПАО ""Транснефть""";об;4B02-05-00206-A-001P;7706061801;RU000A0JXC24
ТрнфБО1P7;"ПАО ""Транснефть""";об;4B02-07-00206-A-001P;7706061801;RU000A0JXQD7
ТрнфБО1P8;"ПАО ""Транснефть""";об;4B02-08-00206-A-001P;7706061801;RU000A0ZYDD9
ТрнфБО1P9;"ПАО ""Транснефть""";об;4B02-09-00206-A-001P;7706061801;RU000A0ZYUS1
УрКаПБО3P;ПАО «Уралкалий»;об;4B02-03-00296-A-001P;5911029807;RU000A0JXS75
ФинАвиа 02;"ООО ""Финанс-Авиа""";об;4-02-36484-R;8602258770;RU000A0JVZG5
ФПК 1P-03;"АО ""ФПК""";об;4B02-03-55465-E-001P;7708709686;RU000A0ZYX69
ФПКГарИнP2;"АО ""Коммерческая недвижимость ФПК ""Гарант-Инвест""";об;4B02-02-71794-H-001P;7726637843;RU000A0JXW46
ФСК ЕЭС Б4;ПАО «ФСК ЕЭС»;об;4B02-04-65018-D;4716016979;RU000A0ZYJ91
ФСК ЕЭС-22;ПАО «ФСК ЕЭС»;об;4-22-65018-D;4716016979;RU000A0JSQ58
Хакас2015;Минфин Хакасии;об;RU35005HAK0;1901019947;RU000A0JVUH4
ХМАО 09;Департамент финансов ХМАО - Югры;об;RU34001HMN0;8601009620;RU000A0JUWB5
ХМАО 11;Правительство ХМАО - Югры;об;RU35002HMN0;8601006241;RU000A0ZYKW4
ЧТПЗ 1P2;"ПАО ""ЧТПЗ""";об;4B02-02-00182-A-001P;7449006730;RU000A0JXHE4
Якут-10 об;Министерство Финансов Республики Саха (Якутия);об;RU35010RSY0;1435027673;RU000A0ZZ7E6
ЯНАО-2016;Департамент финансов ЯНАО;об;RU35002YML0;8901017477;RU000A0JX0Z8
ЯрОбл 2017;ДФ ЯО;об;RU35015YRS0;7604002902;RU000A0JXS83
