,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
595,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""",1-01-65018-D,Акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,FEES,shares,stock,TQBR
596,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""",1-01-65018-D,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2017-12-01 00:00:00,2017-12-01 19:30:00,,,FEES,shares,stock,TQBR
597,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""",1-01-65018-D,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2017-12-01 00:00:00,2017-12-01 19:30:00,,,FEES,shares,stock,TQBR
598,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""",1-01-65018-D,Акции обыкновенные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,FEES,shares,stock,TQBR
599,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Публичное акционерное общество ""Федеральная сетевая компания Единой энергетической системы""",1-01-65018-D,Акции обыкновенные,поддержание цены,2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,FEES,shares,stock,TQBR
600,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-06-13 00:00:00,2017-06-13 19:30:00,,,MAGN,shares,stock,TQBR
601,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-06-13 00:00:00,2017-06-13 19:30:00,,,MAGN,shares,stock,TQBR
602,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-06-13 00:00:00,2017-06-13 19:30:00,,,MAGN,shares,stock,TQBR
603,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-06-13 00:00:00,2017-06-13 19:30:00,,,MAGN,shares,stock,TQBR
604,"Инвестиционный Банк ""ВЕСТА"" (Общество с ограниченной ответственностью)","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2017-03-22 00:00:00,2017-03-22 19:30:00,30.12.2017 с пролонгацией,T+,2017-06-13 00:00:00,2017-06-13 19:30:00,,,MAGN,shares,stock,TQBR
605,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2017-08-25 00:00:00,2017-08-25 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MAGN,shares,stock,TQBR
606,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2017-09-26 00:00:00,2017-09-28 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MAGN,shares,stock,TQBR
607,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-26 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MAGN,shares,stock,TQBR
608,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MAGN,shares,stock,TQBR
609,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,MAGN,shares,stock,TQBR
610,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Публичное акционерное общество ""Магнитогорский металлургический комбинат""",1-03-00078-A,Акции обыкновенные,поддержание цены,2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,MAGN,shares,stock,TQBR
611,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
612,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
613,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
614,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
615,"Инвестиционный Банк ""ВЕСТА"" (Общество с ограниченной ответственностью)","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2017-03-22 00:00:00,2017-03-22 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
616,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2017-08-25 00:00:00,2017-08-25 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
617,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2017-09-26 00:00:00,2017-09-28 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
618,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-26 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
619,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
620,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
621,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Публичное акционерное общество ""МегаФон""",1-03-00822-J,Акции обыкновенные,поддержание цены,2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,MFON,shares,stock,TQBR
622,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
623,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
624,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
625,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
626,"Инвестиционный Банк ""ВЕСТА"" (Общество с ограниченной ответственностью)","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2017-03-22 00:00:00,2017-03-22 19:30:00,30.12.2017 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
627,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2017-08-25 00:00:00,2017-08-25 19:30:00,30.12.2017 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
628,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2017-09-26 00:00:00,2017-09-28 19:30:00,30.12.2017 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
629,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-26 19:30:00,30.12.2017 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
630,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
631,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
632,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Публичное акционерное общество ""Интер РАО ЕЭС""",1-04-33498-E,акции обыкновенные,поддержание цены,2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,IRAO,shares,stock,TQBR
633,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
634,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
635,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
636,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
637,"Инвестиционный Банк ""ВЕСТА"" (Общество с ограниченной ответственностью)","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2017-03-22 00:00:00,2017-03-22 19:30:00,30.12.2017 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
638,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2017-08-25 00:00:00,2017-08-25 19:30:00,30.12.2017 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
639,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2017-09-26 00:00:00,2017-09-28 19:30:00,30.12.2017 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
640,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2017-10-26 00:00:00,2017-10-26 19:30:00,30.12.2017 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
641,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
642,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
643,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",2-03-00161-A,Акции привилегированные,поддержание цены,2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,TATNP,shares,stock,TQBR
644,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""",РОС АГРО ПЛС (ROS AGRO PLC),US7496552057,"Глобальные депозитарные расписки, представляющие обыкновенные акции РОС АГРО ПЛС",поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,AGRO,dr,stock,TQBR
645,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-03-01 00:00:00,2017-03-01 19:30:00,,,SU26220RMFS2,bonds,stock,TQOB
646,"""Газпромбанк"" (Акционерное общество)",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-02-07 00:00:00,2017-02-07 19:30:00,30.12.2017 с пролонгацией,T+,2017-03-01 00:00:00,2017-03-01 19:30:00,,,SU26220RMFS2,bonds,stock,TQOB
647,"Акционерное общество ""Банк Кредит Свисс (Москва)""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-01-11 00:00:00,2017-01-11 19:30:00,30.12.2017 с пролонгацией,T+,2017-03-01 00:00:00,2017-03-01 19:30:00,,,SU26220RMFS2,bonds,stock,TQOB
648,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,2017-03-01 00:00:00,2017-03-01 19:30:00,,,SU26220RMFS2,bonds,stock,TQOB
649,"Публичное акционерное общество ""Бест Эффортс Банк""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-03-20 00:00:00,2017-03-20 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26220RMFS2,bonds,stock,TQOB
650,"Банк ""Сберегательно-кредитного сервиса"" (общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-26 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26220RMFS2,bonds,stock,TQOB
651,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-25 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26220RMFS2,bonds,stock,TQOB
652,"Публичное акционерное общество ""Сбербанк России""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,"поддержание цены, спроса, предложения или объёма",2017-12-08 00:00:00,2017-12-08 19:30:00,31.12.2017 с пролонгацией,РЕПО с Центральным контрагентом 1 день,,,,,SU26220RMFS2,bonds,stock,TQOB
653,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2018-02-01 00:00:00,2018-02-01 19:30:00,,,SU26220RMFS2,bonds,stock,TQOB
654,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-02-26 00:00:00,2018-02-26 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26220RMFS2,bonds,stock,TQOB
655,"""Эйч-эс-би-си Банк (РР)"" (Общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-04-06 00:00:00,2018-04-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26220RMFS2,bonds,stock,TQOB
656,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-10-23 00:00:00,2018-10-24 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26220RMFS2,bonds,stock,TQOB
657,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26220RMFS2,bonds,stock,TQOB
658,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26220RMFS2,bonds,stock,TQOB
659,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""",Министерство финансов Российской Федерации,26220RMFS,Облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-23 00:00:00,2018-11-23 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26220RMFS2,bonds,stock,TQOB
660,"Публичное акционерное общество ""Совкомбанк""","Общество с ограниченной ответственностью ""СОЛЛЕРС-ФИНАНС""",4-01-00303-R,облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 01,поддержание цены,2017-03-09 00:00:00,2017-03-09 19:30:00,01.03.2018 с пролонгацией,Режим основных торгов,,,,,RU000A0JXFC2,bonds,stock,EQOB
661,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Акционерное общество ""Полипласт""",4B02-03-06757-A,биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-03,поддержание цены,2017-03-24 00:00:00,2017-03-24 19:30:00,31.12.2017 с пролонгацией,Режим основных торгов,,,2018-12-01 00:00:00,2018-12-03 19:30:00,RU000A0JWYK8,bonds,stock,EQOB
662,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество Группа компаний ""ТНС энерго""",1-01-15521-A,Акции обыкновенные,поддержание цены,2017-04-24 00:00:00,2017-04-24 19:30:00,15.11.2017 с пролонгацией,T+,,,,,TNSE,shares,stock,TQBR
663,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""","Публичное акционерное общество Группа компаний ""ТНС энерго""",1-01-15521-A,Акции обыкновенные,поддержание цены,2018-11-20 00:00:00,2018-11-22 19:30:00,31.12.2018 с пролонгацией,T+,,,,,TNSE,shares,stock,TQBR
664,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Общество с ограниченной ответственностью ""РСГ-Финанс""",4B02-07-36399-R,биржевые облигации неконвертируемые процентные документарные на предъявителя серии БО-07 с обязательным централизованным хранением,поддержание цены,2017-04-24 00:00:00,2017-04-24 19:30:00,31.12.2017 с пролонгацией,Режим основных торгов,,,,,RU000A0JXN13,bonds,stock,EQOB
665,"Банк ""Сберегательно-кредитного сервиса"" (общество с ограниченной ответственностью)","Публичное акционерное общество ""Группа Компаний ПИК""",4B02-02-01556-A-001P,Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-П02,поддержание цены,2017-05-22 00:00:00,2017-05-22 19:30:00,31.05.2018 с пролонгацией,Режим основных торгов,,,,,RU000A0JXQ93,bonds,stock,EQOB
666,"Публичное акционерное общество ""Совкомбанк""","Публичное акционерное общество ""Группа Компаний ПИК""",4B02-02-01556-A-001P,Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-П02,поддержание цены,2017-07-18 00:00:00,2017-07-18 19:30:00,01.07.2018 с пролонгацией,Режим основных торгов,,,,,RU000A0JXQ93,bonds,stock,EQOB
667,"Общество с ограниченной ответственностью ""Москва Сити Секьюритиз""","Публичное акционерное общество ""ИНГРАД""",4B02-01-50020-A,неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-01 с обязательным централизованным хранением,поддержание цены,2017-05-23 00:00:00,2017-05-23 19:30:00,15.05.2018 с пролонгацией,Режим основных торгов,2017-12-28 00:00:00,2017-12-27 19:30:00,,,RU000A0JXLM9,bonds,stock,EQOB
668,"Публичное акционерное общество ""Совкомбанк""","Публичное акционерное общество ""Белуга Групп""",4B02-01-55052-E-001P,биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-П01,поддержание цены,2017-06-30 00:00:00,2017-06-30 19:30:00,01.07.2018 с пролонгацией,Режим основных торгов,2017-07-21 00:00:00,2017-07-20 19:30:00,,,RU000A0JXTB5,bonds,stock,EQOB
669,КИТ Финанс (Акционерное общество),"Акционерное общество ""Управляющая компания ""ТРАНСФИНГРУП""",0626-94123756,"инвестиционные паи Открытого паевого инвестиционного фонда рыночных финансовых инструментов ""ТФГ – Рублевые облигации""",поддержание цены,2017-07-06 00:00:00,2017-07-06 19:30:00,31.12.2017 с пролонгацией,T+,2018-08-13 00:00:00,2018-08-13 19:30:00,,,RU000A0JT7G9,ppif,stock,TQIF
670,"Публичное акционерное общество ""Совкомбанк""","Публичное акционерное общество ""Группа Компаний ПИК""",4B02-01-01556-A-001P,Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-П01,поддержание цены,2017-07-18 00:00:00,2017-07-18 19:30:00,01.07.2018 с пролонгацией,Режим основных торгов,,,,,RU000A0JXK40,bonds,stock,EQOB
671,"Публичное акционерное общество ""Совкомбанк""","Публичное акционерное общество ""Группа Компаний ПИК""",4B02-01-01556-A,Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-01,поддержание цены,2017-07-18 00:00:00,2017-07-18 19:30:00,01.07.2018 с пролонгацией,Режим основных торгов,,,,,RU000A0JXK40,bonds,stock,EQOB
672,"Публичное акционерное общество ""Совкомбанк""","Публичное акционерное общество ""Группа Компаний ПИК""",4B02-07-01556-A,Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-07,поддержание цены,2017-07-18 00:00:00,2017-07-18 19:30:00,01.07.2018 с пролонгацией,Режим основных торгов,,,,,RU000A0JWP46,bonds,stock,EQOB
673,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""","Публичное акционерное общество ""ВОЛГА Капитал""",4B02-01-15790-A-001P,биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии ПБО-01,поддержание цены,2017-07-19 00:00:00,2017-07-19 19:30:00,30.09.2017 с пролонгацией,Режим основных торгов,,,,,RU000A0JXUU3,bonds,stock,EQOB
674,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Публичное акционерное общество ""М.видео""",1-02-11700-A,Акции обыкновенные,поддержание цены,2017-07-25 00:00:00,2017-07-25 19:30:00,11.07.2018 с пролонгацией,T+,,,,,MVID,shares,stock,TQBR
675,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""","Публичное акционерное общество ""М.видео""",1-02-11700-A,Акции обыкновенные,поддержание цены,2018-04-10 00:00:00,2018-04-11 19:30:00,2019-04-12 00:00:00,T+,,,,,MVID,shares,stock,TQBR
676,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""М.видео""",1-02-11700-A,Акции обыкновенные,поддержание цены,2018-09-04 00:00:00,2018-09-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,MVID,shares,stock,TQBR
677,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Акционерное общество ""АВТОБАН-Финанс""",4B02-01-82416-H-001P,Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-П01,поддержание цены,2017-08-18 00:00:00,2017-08-18 19:30:00,31.12.2017 с пролонгацией,Режим основных торгов,,,,,RU000A0JXQ51,bonds,stock,EQOB
678,"Публичное акционерное общество ""Совкомбанк""","Акционерное общество ""АВТОБАН-Финанс""",4B02-01-82416-H-001P,Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-П01,поддержание цены,2018-07-24 00:00:00,2018-07-24 19:30:00,31.07.2019 с пролонгацией,Режим основных торгов,,,,,RU000A0JXQ51,bonds,stock,EQOB
