,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
26,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)",10101978B,акции обыкновенные,поддержание цены,2015-06-30 00:00:00,,30.06.2016 с пролонгацией,T+,2016-05-18 00:00:00,2016-05-18 19:30:00,,,CBOM,shares,stock,TQBR
27,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)",10101978B,акции обыкновенные,поддержание цены,2017-01-10 00:00:00,2017-01-10 19:30:00,30.06.2017 с пролонгацией,T+,,,,,CBOM,shares,stock,TQBR
28,"Общество с ограниченной ответственностью ""Москва Сити Секьюритиз""","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)",10101978B,акции обыкновенные,поддержание цены,2018-10-26 00:00:00,2018-10-29 19:30:00,31.10.2019 с пролонгацией,T+,,,,,CBOM,shares,stock,TQBR
29,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""",1-01-82031-H,акции обыкновенные,поддержание цены,2015-08-28 00:00:00,2015-08-28 19:30:00,31.12.2015 с пролонгацией,T+,2016-07-08 00:00:00,2016-07-08 19:30:00,,,UWGN,shares,stock,TQBR
30,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""",1-01-82031-H,акции обыкновенные,поддержание цены,2016-07-20 00:00:00,2016-07-20 19:30:00,31.12.2016 с пролонгацией,T+,,,,,UWGN,shares,stock,TQBR
31,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""",1-01-82031-H,акции обыкновенные,поддержание цены,2016-11-25 00:00:00,2016-11-25 19:30:00,31.12.2017 с пролонгацией,T+,2016-12-19 00:00:00,2016-12-19 19:30:00,2018-12-11 00:00:00,2018-12-11 19:30:00,UWGN,shares,stock,TQBR
32,"Акционерное общество Инвестиционная фирма ""ОЛМА""","Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""",1-01-82031-H,акции обыкновенные,поддержание цены,2017-12-13 00:00:00,2017-12-13 19:30:00,31.12.2018 с пролонгацией,T+,,,,,UWGN,shares,stock,TQBR
33,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Публичное акционерное общество ""САФМАР Финансовые инвестиции""",1-02-56453-P,акции обыкновенные,поддержание цены,2015-12-10 00:00:00,2015-12-10 19:30:00,30.11.2016 с пролонгацией,T+,2017-08-23 00:00:00,2017-08-23 19:30:00,,,SFIN,shares,stock,TQBR
34,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""","Публичное акционерное общество ""САФМАР Финансовые инвестиции""",1-02-56453-P,акции обыкновенные,поддержание цены,2018-02-27 00:00:00,2018-02-27 19:30:00,31.12.2018 с пролонгацией,T+,,,,,SFIN,shares,stock,TQBR
35,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""САФМАР Финансовые инвестиции""",1-02-56453-P,акции обыкновенные,поддержание цены,2018-09-04 00:00:00,2018-09-04 19:30:00,04.09.2019 с пролонгацией,T+,,,,,SFIN,shares,stock,TQBR
