,RU000A0JNYN1,RU000A0JQHM1,RU000A0JQXG0,RU000A0JR6S8,RU000A0JR5F7,RU000A0JNUN9,RU000A0JSGV0,RU000A0JTU85,RU000A0JQ7X7,RU000A0JQ5Q5,RU000A0JQRD9,RU000A0JQ7Z2,RU000A0JU3B6,RU000A0JU2N3,RU000A0JUAH8,RU000A0JUJG1,RU000A0JR4J2,YNDX,RU000A0JUG15,RU000A0JUW23,RU000A0JTX09,RGSS,RU000A0JWBN0,RU000A0JVZA8,RU000A0JVT43,RU000A0JW118,RU000A0JWM49,RU000A0JWQX7,RU000A0JUWV3,RU000A0JWWX5,AGRO,RU000A0JXFC2,RU000A0JWYK8,RU000A0JXN13,RU000A0JXLM9,RU000A0JXTB5,RU000A0JT7G9,RU000A0JWP46,RU000A0JXUU3,RU000A0JXY85,RU000A0JXVY3,RU000A0JURB5,RU000A0ZYEB1,RU000A0JUBD5,GTRK,OBUV,RU000A0ZYG37,RU000A0JVWJ6,RU000A0JXE06,RU000A0ZYKF9,RU000A0ZYG78,RU000A0ZYU54,MRKC,RU000A0ZYSS5,RU000A0JXY44,RU000A0ZYJ42,RU000A0JS934,FXDE,FXAU,FXCN,FXMM,FXRB,FXIT,FXJP,FXGD,FXRU,FXUK,FXUS,FXRL,RU000A0JXS26,RU000A0ZYLX0,RU000A0JX3M0,RU000A0JT403,RU000A0JT6B2,RU000A0JR2C1,RU000A0ZZ9X2,MRKP,RU000A0ZZAT8,RU000A0ZZ8U0,RU000A0JR3G0,RU000A0JR3H8,RU000A0JS4Z7,RU000A0ZZ0L6,ROST,RU000A0JTER1,RU000A0ZZBV2,RU000A0ZZE87,RU000A0ZZBD0,RU000A0ZZ6Q2,RU000A0JXT58,RU000A0JR282,RU000A0JXPU3,RU000A0ZYCR1,RU000A0ZZDB0,RU000A0ZZ984,RU000A0ZZ1J8,RU000A0ZZAL5,RAVN,RU000A0ZZAW2,RU000A0ZZBJ7,RU000A0ZYL55,FXKZ,RU000A0ZZNL8,RU000A0JR290,RU000A0ZZCV0,RU000A0ZZZ17
2018-10-29,41,8441,0,0,0,50,186,537,0,0,215,401524,112,0,2322,0,10,1334575,0,0,4,12444000,0,0,0,0,1,18,0,18,5226,0,252,56,15,0,0,4904,0,0,3068,0,2633,0,0,40700,0,27,5648,97668,132519,0,7808000,3086,993,0,0,575,168,1029,7506,1682,23968,660,34347,713,304,1633,790,0,0,0,7,0,3400,182,28560000,1741,0,6,65,0,2366,40,0,1,,0,0,0,8300,730,1108,0,60,199,0,100,11,359,117,623,0,0,435,
2018-10-30,14698,286,0,0,0,0,100225,2096,0,42,100045,307679,155,7,1,100,2,613437,0,0,51,22555000,0,0,0,0,10,7,0,0,3469,151,248,514,0,0,0,5757,0,0,5268,0,2196,0,0,21160,0,235288,2761,1094,3328,0,2069000,569,16,73,0,538,221,1614,8279,1928,3911,420,5683,620,155,1655,392,0,0,0,0,0,7100,105,30800000,808,0,0,0,27665,2446,50,0,0,,0,0,0,18200,826,1,0,62,302,0,13400,35,111,41,167,0,0,2129,
2018-10-31,0,895,0,0,0,0,125224,1,0,0,125652,622579,722,19,10,0,0,1297928,0,0,328,1283000,0,0,0,0,1,0,1,8,29862,1,1199,90,0,0,0,3607,0,0,2796,1,2484,0,190,26780,0,28497,12933,2137,6753,0,4716000,27,73,11,0,559,332,1811,4453,1692,4285,532,11079,300,442,2067,727,0,0,0,0,0,64400,67,348230000,393,0,0,0,3040,1660,10,0,0,,0,0,0,17200,489,6010,0,2987,11297,0,3800,8,0,11,660,5000,0,6053,
2018-11-01,333,293,100,0,0,0,158,0,287,2,20170,271000,53,20,0,0,0,866068,0,0,1613,880000,0,0,0,0,0,0,0,311,1788,188,445,20,0,65,0,42,0,0,200,0,1940,0,300,14450,0,200255,4500,4998,49331,0,2636000,10,625,25,200,731,277,2137,9465,1522,2441,430,4919,267,279,1188,547,0,0,0,0,86,4900,125,85910000,2436,0,0,94,12088,801,220,0,0,,309,400,3,24300,92,777,0,4005,0,0,0,0,0,17,645,0,0,4233,
2018-11-02,0,312,0,0,0,0,37,2965,93,6,0,355,2301,0,2251,0,0,801450,0,0,32,1324000,0,0,0,0,1,212,0,52,4691,3,260,152,23,0,0,444,0,0,1670,1,16725,0,20,7730,0,39023,15220,12952,10344,0,11482000,1031,3622,200,0,1228,439,5076,11226,1174,6441,564,6895,562,376,2634,1021,0,0,0,0,0,1300,8,67490000,3768,0,0,0,1274,769,50,0,49,,0,50,0,9100,751,3066,0,56,3275,0,0,3211,40,0,3989,0,0,1318,
2018-11-06,0,1749,0,0,0,0,10,0,0,0,319,0,0,67,0,0,33,295335,2,0,1,3149000,0,0,11,0,139,0,0,2,2148,104,1509,68,60,0,0,141,2500,0,3336,0,5549,2,10,45710,0,1010,4096,2823,7506,0,4379000,109,652,235,0,1023,1237,1946,41360,788,3831,658,10176,521,497,3673,1835,0,0,0,30,0,14700,100,39540000,1578,0,0,136,1,716,1670,1484,0,,3,1,0,16900,248,24,0,35,15,0,200,148,1,398,629,0,0,2212,
2018-11-07,361,201,0,0,16400,0,598,0,100,0,1,0,0,18,7630,0,0,238473,1,0,8585,5266000,0,0,0,0,0,10,0,1157,8638,1037,508,154,0,0,20,549,901,0,4745,14,29764,0,7990,25610,0,1500,4813,24263,2324,0,1262000,122,8932,386,0,1225,427,1632,19449,3028,3049,370,6800,2087,289,2625,1754,0,0,0,20,0,15100,468,34030000,391,0,0,2,198,61633,30,0,51,,92,0,0,12600,130,1002,0,56,0,0,0,147,33,7,2014,0,0,1213,
2018-11-08,106,10,0,0,0,0,601,20501,10,0,1,0,47,1,10966,0,1,283095,0,0,569,6988000,0,0,0,0,0,0,0,13,20392,240,943,32,19,46,0,244,0,0,569,0,11113,0,0,23150,0,113677,6812,5130,11004,0,10556000,126,1172,5,0,914,256,735,15184,8261,5883,542,10997,2282,254,3489,1711,0,0,0,0,0,6500,1251,29840000,1125,0,0,9,180010,5206,0,0,0,,0,0,0,25600,177,1,0,33,4405,0,0,15,0,2,1229,0,9,2442,
2018-11-09,2,390,0,0,0,0,489,0,10,0,70,980,0,0,0,0,2,298773,0,0,49,2104000,0,0,0,0,52,23,0,192,22032,304,158,161,0,50,0,985,0,0,3440,0,10599,0,30,68330,0,9152,632,12332,2644,0,2905000,1500,245,235,0,493,137,823,30612,4986,4142,435,23030,922,230,4561,1184,0,0,0,0,0,2400,0,50650000,882,0,1400,8,1000,536,100,0,50,,0,3000,10,17100,22732,9,0,40,55,0,0,228,0,3,1379,0,1,2609,
2018-11-12,119,5,0,0,0,0,976,0,80,0,6,19707,0,0,0,0,0,342057,0,0,995,1276000,100,0,0,0,169,326,0,41,14749,55,496,46,0,1050,0,54,5,0,4929,0,3171,0,0,67350,0,142,8217,7677,604,0,1738000,448,46,2,0,1962,351,1167,10745,1636,6327,594,5128,817,201,4216,1962,0,0,0,0,0,4500,143,18050000,782,0,1,0,0,567,470,0,0,,1,10,224,25400,1440,2382,0,40,14,0,400,56,0,19216,1519,0,0,2265,
